F25,1,0,0,1,1,1,0,0,1,0,2,1,2,0,2,1,0,0,1,1,0,1,1,0,1,2,0,2,1,2,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,2,1,1,1,1,0,1,0,0,2,2,1,2,0,2,0,1,1,0,0,2,1,1,0,1,0,1,2,0,2,0,1,2,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0
F23,3,1,2,2,2,2,1,1,2,0,2,1,2,0,2,1,1,1,1,1,2,1,1,0,1,2,2,2,2,4,0,1,0,0,0,1,2,1,1,1,0,1,0,1,0,2,2,1,1,2,1,0,2,0,0,3,2,1,2,0,2,0,1,1,0,0,2,1,1,0,1,1,2,3,0,2,1,1,2,0,1,3,1,6,4,3,2,1,1,1,0,0,1,2,1,1,0,0,2,2
F31,0.3333,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.5,0.0,0.0,0.6667,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5,0.6667,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.1667,0.25,0.3333,0.5,1.0,1.0,1.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,0.0,0.5,0.0
F24,2,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,2,1,2,2,1,1,1,2,3,1,0,0,2,0,0,0,5,0,0,0,1,0,0,2,0,1,1,1,0,1,1,0,0,3,0,1,1,0,0,1,2,0,1,0,2,0,0,0,0,1,0,4,0,0,0,1,2,1,2,0,0,0,3,0,2,0,0,1,1,2,2,1,1,0,1,0,1,2,0,1
F30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F32,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0
F26,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,1
F36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F18,0.2222,0.3125,0.2778,0.1667,0.2105,0.25,0.25,0.1538,0.2,0.0556,0.15,0.2222,0.2632,0.1429,0.1667,0.2857,0.2222,0.25,0.2222,0.3125,0.2667,0.3333,0.2,0.4,0.1667,0.2857,0.3571,0.3077,0.3125,0.25,0.2857,0.4286,0.1667,0.2667,0.4545,0.2857,0.1667,0.2692,0.3571,0.3889,0.2222,0.3,0.4545,0.2778,0.3158,0.375,0.3333,0.1,0.3,0.2069,0.1667,0.1,0.1333,0.4615,0.1538,0.1304,0.125,0.0952,0.125,0.1429,0.087,0.2143,0.1,0.25,0.1875,0.2222,0.1111,0.2727,0.1667,0.0833,0.3571,0.1364,0.1111,0.2105,0.2143,0.12,0.2727,0.1739,0.2174,0.25,0.1053,0.2308,0.3043,0.0952,0.087,0.1724,0.1364,0.1053,0.1667,0.15,0.1053,0.3333,0.15,0.0556,0.4375,0.1667,0.3333,0.3,0.2143,0.2857
F19,0.1667,0.0625,0.1111,0.1111,0.1579,0.125,0.0,0.0769,0.0667,0.0,0.2,0.2222,0.3158,0.0,0.1111,0.1429,0.2778,0.0,0.2222,0.125,0.0,0.2222,0.1,0.0,0.0833,0.2143,0.0714,0.1538,0.1875,0.15,0.0,0.1429,0.0833,0.1333,0.0909,0.0714,0.0952,0.0385,0.0714,0.1111,0.1111,0.1,0.0,0.1667,0.1053,0.0833,0.1333,0.05,0.2,0.1379,0.1667,0.1,0.0667,0.0769,0.0,0.1304,0.375,0.1429,0.1875,0.0714,0.1739,0.0,0.2,0.125,0.125,0.0,0.3333,0.0909,0.0833,0.1667,0.0714,0.0909,0.0278,0.1053,0.1429,0.2,0.0,0.1739,0.1304,0.0,0.1053,0.0385,0.0435,0.1429,0.087,0.0345,0.0455,0.1053,0.0833,0.15,0.2105,0.0833,0.05,0.1667,0.125,0.1667,0.1111,0.15,0.0714,0.1429
